DATE,CITY,FLOOD
2020-10-05,Bogor,True
2020-10-04,Kota Adm. Jakarta Selatan,True
2020-10-04,Kota Adm. Jakarta Timur,True
2020-10-04,Bogor,True
2020-10-04,Bogor,True
2020-10-02,Bogor,True
2020-09-23,Bogor,True
2020-09-22,Kota Adm. Jakarta Selatan,True
2020-09-22,Kota Adm. Jakarta Timur,True
2020-09-22,Kota Adm. Jakarta Pusat,True
2020-09-22,Kota Adm. Jakarta Barat,True
2020-09-22,Kota Adm. Jakarta Utara,True
2020-09-21,Kota Bogor,True
2020-09-21,Bogor,True
2020-09-21,Bogor,True
2020-09-21,Bogor,True
2020-09-03,Bogor,True
2020-08-18,Bogor,True
2020-08-16,Bogor,True
2020-08-16,Bogor,True
2020-06-18,Kota Bogor,True
2020-06-05,Kota Bogor,True
2020-06-04,Kota Adm. Jakarta Utara,True
2020-05-28,Bogor,True
2020-05-25,Pandeglang,True
2020-05-21,Kota Adm. Jakarta Selatan,True
2020-05-21,Kota Adm. Jakarta Timur,True
2020-05-20,Bogor,True
2020-05-18,Kota Adm. Jakarta Selatan,True
2020-05-18,Kota Adm. Jakarta Timur,True
2020-05-18,Bogor,True
2020-05-18,Bogor,True
2020-05-18,Bogor,True
2020-05-18,Bogor,True
2020-05-15,Bogor,True
2020-05-13,Bogor,True
2020-05-13,Bogor,True
2020-05-11,Bogor,True
2020-05-10,Kota Adm. Jakarta Selatan,True
2020-05-10,Kota Adm. Jakarta Timur,True
2020-05-02,Bandung,True
2020-05-02,Kota Semarang,True
2020-05-01,Bogor,True
2020-05-01,Kota Bandung,True
2020-04-30,Kota Adm. Jakarta Selatan,True
2020-04-30,Kota Adm. Jakarta Timur,True
2020-04-30,Kota Adm. Jakarta Barat,True
2020-04-26,Kota Adm. Jakarta Selatan,True
2020-04-24,Semarang,True
2020-04-17,Bogor,True
2020-04-12,Kota Semarang,True
2020-04-01,Kota Adm. Jakarta Timur,True
2020-03-31,Bandung Barat,True
2020-03-30,Bandung,True
2020-03-29,Bandung Barat,True
2020-03-27,Bogor,True
2020-03-26,Bandung Barat,True
2020-03-25,Bogor,True
2020-03-21,Kota Semarang,True
2020-03-20,Bandung,True
2020-03-18,Semarang,True
2020-03-18,Bogor,True
2020-03-16,Bogor,True
2020-03-16,Bogor,True
2020-03-16,Bandung,True
2020-03-08,Semarang,True
2020-03-07,Kota Semarang,True
2020-03-07,Kota Semarang,True
2020-03-04,Bandung,True
2020-03-02,Bandung,True
2020-02-29,Bogor,True
2020-02-29,Kota Semarang,True
2020-02-28,Bogor,True
2020-02-28,Semarang,True
2020-02-28,Bandung,True
2020-02-25,Bandung,True
2020-02-25,Kota Adm. Jakarta Selatan,True
2020-02-25,Kota Adm. Jakarta Timur,True
2020-02-25,Kota Adm. Jakarta Pusat,True
2020-02-25,Kota Adm. Jakarta Barat,True
2020-02-25,Kota Adm. Jakarta Utara,True
2020-02-23,Kota Semarang,True
2020-02-23,Kota Adm. Jakarta Selatan,True
2020-02-23,Kota Adm. Jakarta Timur,True
2020-02-23,Kota Adm. Jakarta Pusat,True
2020-02-23,Kota Adm. Jakarta Barat,True
2020-02-23,Kota Adm. Jakarta Utara,True
2020-02-22,Kota Semarang,True
2020-02-20,Kota Adm. Jakarta Selatan,True
2020-02-20,Kota Adm. Jakarta Timur,True
2020-02-20,Kota Adm. Jakarta Pusat,True
2020-02-20,Kota Adm. Jakarta Barat,True
2020-02-20,Kota Adm. Jakarta Utara,True
2020-02-20,Kota Semarang,True
2020-02-18,Bogor,True
2020-02-16,Kota Adm. Jakarta Selatan,True
2020-02-16,Kota Adm. Jakarta Timur,True
2020-02-16,Kota Adm. Jakarta Barat,True
2020-02-16,Bandung Barat,True
2020-02-15,Bandung,True
2020-02-15,Kota Bandung,True
2020-02-14,Kota Bandung,True
2020-02-08,Kota Adm. Jakarta Selatan,True
2020-02-08,Kota Adm. Jakarta Timur,True
2020-02-08,Kota Adm. Jakarta Pusat,True
2020-02-08,Kota Adm. Jakarta Barat,True
2020-02-08,Kota Adm. Jakarta Utara,True
2020-02-07,Kota Semarang,True
2020-02-07,Bandung,True
2020-02-05,Bandung,True
2020-02-05,Kota Bandung,True
2020-02-04,Kota Semarang,True
2020-02-03,Bandung,True
2020-02-01,Kota Adm. Jakarta Barat,True
2020-01-26,Kota Adm. Jakarta Selatan,True
2020-01-24,Kota Bandung,True
2020-01-24,Kota Bandung,True
2020-01-23,Bandung,True
2020-01-23,Bandung,True
2020-01-21,Bandung Barat,True
2020-01-19,Bandung,True
2020-01-10,Pandeglang,True
2020-01-01,Kota Adm. Jakarta Selatan,True
2020-01-01,Kota Adm. Jakarta Timur,True
2020-01-01,Kota Adm. Jakarta Pusat,True
2020-01-01,Kota Adm. Jakarta Barat,True
2020-01-01,Kota Adm. Jakarta Utara,True
2020-01-01,Bogor,True
2020-01-01,Kota Bogor,True
2019-12-31,Bandung Barat,True
2019-12-22,Bogor,True
2019-12-18,Bogor,True
2019-12-17,Bandung,True
2019-12-14,Bogor,True
2019-12-06,Kota Semarang,True
2019-12-06,Bandung,True
2019-11-28,Bogor,True
2019-05-13,Kota Semarang,True
2019-05-10,Bogor,True
2019-05-09,Bogor,True
2019-04-29,Kota Semarang,True
2019-04-26,Bogor,True
2019-04-26,Bogor,True
2019-04-26,Bogor,True
2019-04-26,Bogor,True
2019-04-26,Kota Adm. Jakarta Timur,True
2019-04-25,Bogor,True
2019-04-25,Bogor,True
2019-04-25,Kota Bogor,True
2019-04-25,Kota Bogor,True
2019-04-25,Bogor,True
2019-04-25,Kota Adm. Jakarta Selatan,True
2019-04-25,Bogor,True
2019-04-25,Bogor,True
2019-04-17,Bogor,True
2019-04-15,Kota Semarang,True
2019-04-14,Bogor,True
2019-04-07,Semarang,True
2019-04-04,Kota Bogor,True
2019-04-04,Kota Semarang,True
2019-04-03,Kota Bogor,True
2019-04-01,Kota Bandung,True
2019-03-27,Kota Semarang,True
2019-03-26,Bandung,True
2019-03-23,Semarang,True
2019-03-23,Bandung Barat,True
2019-03-10,Kota Semarang,True
2019-03-06,Bandung Barat,True
2019-03-01,Bandung,True
2019-02-23,Bandung Barat,True
2019-02-22,Bandung,True
2019-02-15,Bogor,True
2019-02-10,Bandung,True
2019-02-09,Bandung,True
2019-01-21,Kota Semarang,True
2019-01-20,Kota Semarang,True
2019-01-13,Bandung,True
2019-01-02,Kota Bogor,True
2018-12-25,Kota Semarang,True
2018-12-14,Kota Semarang,True
2018-12-13,Kota Bogor,True
2018-12-10,Kota Semarang,True
2018-12-08,Kota Adm. Jakarta Utara,True
2018-12-08,Kota Semarang,True
2018-12-06,Kota Semarang,True
2018-12-05,Bandung,True
2018-12-03,Kota Adm. Jakarta Timur,True
2018-12-03,Kota Semarang,True
2018-11-26,Kota Bandung,True
2018-11-24,Bogor,True
2018-11-21,Bogor,True
2018-11-12,Kota Palembang,True
2018-11-12,Kota Adm. Jakarta Timur,True
2018-11-11,Kota Adm. Jakarta Timur,True
2018-11-11,Bandung,True
2018-11-10,Bogor,True
2018-11-08,Bandung,True
2018-11-06,Bandung,True
2018-10-29,Kota Adm. Jakarta Timur,True
2018-10-22,Kota Bogor,True
2018-08-10,Bogor,True
2018-07-21,Kota Bogor,True
2018-06-25,Kota Adm. Jakarta Timur,True
2018-06-25,Kota Adm. Jakarta Barat,True
2018-06-24,Bogor,True
2018-05-22,Kota Semarang,True
2018-05-21,Kota Adm. Jakarta Timur,True
2018-05-03,Kota Adm. Jakarta Selatan,True
2018-04-21,Bandung,True
2018-04-21,Kota Bandung,True
2018-04-17,Bogor,True
2018-04-16,Kota Bogor,True
2018-04-14,Bogor,True
2018-04-13,Bogor,True
2018-04-08,Bogor,True
2018-04-07,Bogor,True
2018-04-07,Bogor,True
2018-04-07,Kota Bogor,True
2018-03-25,Kota Semarang,True
2018-03-20,Kota Bandung,True
2018-03-18,Bogor,True
2018-03-17,Bandung Barat,True
2018-03-04,Kota Adm. Jakarta Selatan,True
2018-03-04,Kota Adm. Jakarta Timur,True
2018-02-22,Bogor,True
2018-02-22,Bandung,True
2018-02-22,Kota Bandung,True
2018-02-20,Bandung,True
2018-02-15,Kota Adm. Jakarta Timur,True
2018-02-15,Kota Adm. Jakarta Utara,True
2018-02-09,Kota Semarang,True
2018-02-06,Kota Adm. Jakarta Timur,True
2018-02-05,Kota Adm. Jakarta Selatan,True
2018-02-05,Kota Adm. Jakarta Timur,True
2018-02-05,Bogor,True
2018-02-05,Bogor,True
2018-02-05,Bogor,True
2018-02-05,Kota Bogor,True
2018-01-03,Bandung,True
2018-01-03,Bandung,True
2018-01-02,Bandung,True
2017-12-13,Kota Semarang,True
